Period,price
1/31/02,81.46
2/28/02,125.41
3/31/02,114.86
4/30/02,122.11
5/31/02,124.53
6/30/02,120.8
7/31/02,144.73
8/31/02,120.31
9/30/02,154.25
10/31/02,143.67
11/30/02,134.49
12/31/02,141.67
1/31/03,143.27
2/28/03,168.11
3/31/03,172.93
4/30/03,160.2
5/31/03,173.99
6/30/03,199.7
7/31/03,171.88
8/31/03,212.47
9/30/03,193.47
10/31/03,204.35
11/30/03,215.96
12/31/03,223.27
1/31/04,223.32
2/29/04,227.85
3/31/04,236.2
4/30/04,241.61
5/31/04,233.26
6/30/04,258.97
7/31/04,240.14
8/31/04,265.34
9/30/04,257.51
10/31/04,259.17
11/30/04,274.64
12/31/04,267.38
1/31/05,277.68
2/28/05,287.14
3/31/05,304.76
4/30/05,306.12
5/31/05,308.09
6/30/05,296.8
7/31/05,309.25
8/31/05,293.44
9/30/05,296.55
10/31/05,339.5
11/30/05,343.88
12/31/05,339.8
1/31/06,328.57
2/28/06,361.56
3/31/06,346.03
4/30/06,345.09
5/31/06,368.07
6/30/06,364.84
7/31/06,368.64
8/31/06,359.6
9/30/06,389.1
10/31/06,378.38
11/30/06,376.86
12/31/06,408.79
1/31/07,405.54
2/28/07,405.62
3/31/07,407.27
4/30/07,423.73
5/31/07,416.89
6/30/07,431.4
7/31/07,432.55
8/31/07,431.65
9/30/07,422.63
10/31/07,447.6
11/30/07,431.1
12/31/07,453.51
1/31/08,443.07
2/29/08,464.27
3/31/08,463.65
4/30/08,473.36
5/31/08,481.27
6/30/08,479.19
7/31/08,484.32
8/31/08,496.56
9/30/08,500.27
10/31/08,513.87
11/30/08,512
12/31/08,510.37
1/31/09,534.71
2/28/09,529.05
3/31/09,530.15
4/30/09,549.61
5/31/09,541.31
6/30/09,537.79
7/31/09,527.72
8/31/09,568.89
9/30/09,574.65
10/31/09,558.74
11/30/09,572.75
12/31/09,564.03
1/31/10,570.92
2/28/10,582.23
3/31/10,587.6
4/30/10,579.49
5/31/10,602.41
